time,station,cloud_cover_pct,sky_temp_c,r0_cm,seeing_arcsec,tau0_ms,theta0_urad,theta0_arcsec,cn2_m23,scintillation_index,turbulence_source,irradiance_wm2,pwv_mm,solar_elevation_deg,temp_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_gust_ms,wind_dir_deg,rain_rate_mmh,mount_az_deg,mount_el_deg,status,link_available
2026-09-04T09:24:00Z,OGS-01,42.0,-9.32,5.83,1.733,1.812,3.182,0.656,5.6892e-16,1.5,sun_scintillation,367.9,4.51,33.8,8.47,762.39,64.1,7.02,9.55,259.7,0.0,289.36,33.8,NOMINAL,0.0
2026-09-04T09:25:00Z,OGS-01,41.3,-9.67,5.62,1.797,1.73,3.058,0.631,6.0434e-16,1.37753,sun_scintillation,384.8,4.58,34.02,8.43,762.46,64.3,7.35,12.91,260.9,0.0,278.4,34.02,NOMINAL,0.0
2026-09-04T09:26:00Z,OGS-01,43.2,-8.78,5.28,1.915,1.614,2.85,0.588,6.7206e-16,1.5,sun_scintillation,372.6,4.67,34.23,8.47,762.46,64.6,7.52,12.91,261.0,0.0,259.09,34.23,NOMINAL,0.0
2026-09-04T09:27:00Z,OGS-01,44.0,-8.54,5.31,1.905,1.575,2.91,0.6,6.6591e-16,1.24792,sun_scintillation,373.9,4.57,34.45,8.51,762.35,64.8,7.72,10.88,260.8,0.0,233.58,34.45,NOMINAL,0.0
2026-09-04T09:28:00Z,OGS-01,43.6,-8.83,5.33,1.897,1.562,2.896,0.597,6.6135e-16,1.28533,sun_scintillation,383.0,4.59,34.66,8.43,762.49,65.3,7.89,11.16,260.9,0.0,230.84,34.66,NOMINAL,0.0
2026-09-04T09:29:00Z,OGS-01,43.4,-8.78,5.46,1.851,1.615,2.956,0.61,6.3517e-16,1.39991,sun_scintillation,374.3,4.49,34.88,8.44,762.68,64.5,7.82,10.27,258.2,0.0,227.39,34.88,NOMINAL,0.0
2026-09-04T09:30:00Z,OGS-01,43.9,-8.78,5.6,1.806,1.673,3.035,0.626,6.0941e-16,1.14145,sun_scintillation,377.0,4.52,35.09,8.47,762.75,64.0,7.68,9.75,256.6,0.0,218.54,35.09,NOMINAL,0.0
2026-09-04T09:31:00Z,OGS-01,42.9,-9.03,5.71,1.771,1.723,3.076,0.635,5.8994e-16,1.09696,sun_scintillation,387.9,4.46,35.31,8.45,762.69,64.0,7.39,12.26,257.3,0.0,196.93,35.31,NOMINAL,0.0
2026-09-04T09:32:00Z,OGS-01,44.1,-8.65,5.51,1.834,1.688,2.973,0.613,6.2547e-16,1.42303,sun_scintillation,383.6,4.4,35.52,8.44,762.82,63.9,7.69,12.37,255.5,0.0,176.43,35.52,NOMINAL,0.0
2026-09-04T09:33:00Z,OGS-01,42.7,-9.2,5.51,1.836,1.677,2.987,0.616,6.2627e-16,1.5,sun_scintillation,395.7,4.4,35.74,8.4,762.76,64.0,7.86,10.25,255.7,0.0,194.01,35.74,NOMINAL,0.0
2026-09-04T09:34:00Z,OGS-01,44.1,-8.95,5.56,1.817,1.691,3.013,0.621,6.1577e-16,1.46512,sun_scintillation,393.4,4.5,35.95,8.38,762.73,64.3,7.71,12.15,255.0,0.0,198.8,35.95,NOMINAL,0.0
2026-09-04T09:35:00Z,OGS-01,44.1,-8.56,5.57,1.813,1.656,3.028,0.625,6.1346e-16,1.20292,sun_scintillation,395.9,4.5,36.17,8.31,762.78,64.8,7.83,10.39,256.3,0.0,213.47,36.17,NOMINAL,0.0
2026-09-04T09:36:00Z,OGS-01,43.5,-8.86,5.68,1.78,1.742,3.053,0.63,5.951e-16,1.38071,sun_scintillation,401.6,4.44,36.38,8.24,762.74,65.0,7.58,13.51,256.6,0.0,209.83,36.38,NOMINAL,0.0
