time,station,cloud_cover_pct,sky_temp_c,r0_cm,seeing_arcsec,tau0_ms,theta0_urad,theta0_arcsec,cn2_m23,scintillation_index,turbulence_source,irradiance_wm2,pwv_mm,solar_elevation_deg,temp_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_gust_ms,wind_dir_deg,rain_rate_mmh,mount_az_deg,mount_el_deg,status,link_available
2026-09-04T14:29:00Z,OGS-WATERFORD,42.1,-6.81,5.51,1.834,1.706,2.948,0.608,6.2513e-16,1.5,sun_scintillation,424.8,7.93,38.37,10.95,1011.49,64.1,7.12,9.69,259.7,0.0,289.36,38.37,NOMINAL,0.0
2026-09-04T14:30:00Z,OGS-WATERFORD,41.4,-7.16,5.33,1.897,1.633,2.843,0.586,6.6164e-16,1.5,sun_scintillation,439.7,8.01,38.28,10.91,1011.56,64.3,7.44,13.07,260.9,0.0,278.4,38.28,NOMINAL,0.0
2026-09-04T14:31:00Z,OGS-WATERFORD,43.3,-6.27,5.01,2.016,1.528,2.662,0.549,7.3204e-16,1.5,sun_scintillation,421.4,8.14,38.18,10.95,1011.56,64.6,7.61,13.05,261.0,0.0,259.09,38.18,NOMINAL,0.0
2026-09-04T14:32:00Z,OGS-WATERFORD,44.1,-6.03,5.06,1.998,1.497,2.73,0.563,7.2106e-16,1.36932,sun_scintillation,418.5,8.06,38.08,10.99,1011.45,64.8,7.8,10.99,260.8,0.0,233.58,38.08,NOMINAL,0.0
2026-09-04T14:33:00Z,OGS-WATERFORD,43.8,-6.31,5.1,1.983,1.491,2.731,0.563,7.1195e-16,1.40038,sun_scintillation,424.2,8.12,37.98,10.9,1011.59,65.3,7.96,11.26,260.9,0.0,230.84,37.98,NOMINAL,0.0
2026-09-04T14:34:00Z,OGS-WATERFORD,43.5,-6.26,5.25,1.926,1.549,2.805,0.578,6.7844e-16,1.5,sun_scintillation,410.5,7.95,37.87,10.91,1011.78,64.5,7.88,10.35,258.2,0.0,227.39,37.87,NOMINAL,0.0
2026-09-04T14:35:00Z,OGS-WATERFORD,44.0,-6.27,5.4,1.87,1.612,2.897,0.598,6.4592e-16,1.22162,sun_scintillation,409.4,7.93,37.77,10.94,1011.85,64.0,7.73,9.82,256.6,0.0,218.54,37.77,NOMINAL,0.0
2026-09-04T14:36:00Z,OGS-WATERFORD,43.0,-6.54,5.54,1.825,1.669,2.955,0.61,6.2013e-16,1.16291,sun_scintillation,417.2,7.88,37.67,10.93,1011.79,64.0,7.43,12.34,257.3,0.0,196.93,37.67,NOMINAL,0.0
2026-09-04T14:37:00Z,OGS-WATERFORD,44.2,-6.15,5.37,1.884,1.641,2.869,0.592,6.5377e-16,1.4984,sun_scintillation,408.3,7.8,37.57,10.92,1011.92,63.9,7.73,12.44,255.5,0.0,176.43,37.57,NOMINAL,0.0
2026-09-04T14:38:00Z,OGS-WATERFORD,42.8,-6.7,5.38,1.878,1.637,2.898,0.598,6.5051e-16,1.5,sun_scintillation,417.0,7.81,37.47,10.88,1011.87,64.0,7.89,10.3,255.7,0.0,194.01,37.47,NOMINAL,0.0
2026-09-04T14:39:00Z,OGS-WATERFORD,44.2,-6.45,5.46,1.851,1.658,2.94,0.606,6.3481e-16,1.5,sun_scintillation,410.5,7.95,37.36,10.85,1011.83,64.3,7.74,12.2,255.0,0.0,198.8,37.36,NOMINAL,0.0
2026-09-04T14:40:00Z,OGS-WATERFORD,44.1,-6.07,5.5,1.839,1.631,2.971,0.613,6.2825e-16,1.23679,sun_scintillation,409.1,7.99,37.26,10.79,1011.88,64.8,7.86,10.42,256.3,0.0,213.47,37.26,NOMINAL,0.0
2026-09-04T14:41:00Z,OGS-WATERFORD,43.5,-6.37,5.62,1.798,1.723,3.013,0.622,6.0495e-16,1.40746,sun_scintillation,411.1,7.94,37.15,10.72,1011.85,65.0,7.59,13.53,256.6,0.0,209.83,37.15,NOMINAL,0.0
2026-09-04T14:42:00Z,OGS-WATERFORD,42.3,-6.72,5.62,1.797,1.717,2.999,0.619,6.0463e-16,1.42581,sun_scintillation,412.7,8.01,37.05,10.77,1011.75,65.1,7.54,11.0,256.5,0.0,223.44,37.05,NOMINAL,0.0
2026-09-04T14:43:00Z,OGS-WATERFORD,42.3,-6.6,5.58,1.812,1.725,2.977,0.614,6.1312e-16,1.25727,sun_scintillation,412.0,7.91,36.94,10.79,1011.79,64.8,7.31,13.14,254.7,0.0,209.44,36.94,NOMINAL,0.0
2026-09-04T14:44:00Z,OGS-WATERFORD,40.8,-7.18,5.68,1.778,1.788,3.046,0.628,5.9399e-16,1.27442,sun_scintillation,409.3,7.99,36.83,10.72,1011.71,65.1,7.25,10.78,253.1,0.0,222.09,36.83,NOMINAL,0.0
2026-09-04T14:45:00Z,OGS-WATERFORD,40.7,-6.95,5.67,1.783,1.812,3.064,0.632,5.9654e-16,1.5,sun_scintillation,413.5,8.16,36.73,10.77,1011.69,65.0,7.11,9.7,251.8,0.0,195.37,36.73,NOMINAL,0.0
2026-09-04T14:46:00Z,OGS-WATERFORD,40.5,-7.03,5.84,1.73,1.861,3.187,0.657,5.6748e-16,1.34357,sun_scintillation,405.6,8.14,36.62,10.75,1011.64,64.6,7.1,10.62,250.7,0.0,178.38,36.62,NOMINAL,0.0
2026-09-04T14:47:00Z,OGS-WATERFORD,42.8,-6.36,5.84,1.729,1.84,3.166,0.653,5.6688e-16,1.14398,sun_scintillation,399.2,8.27,36.51,10.64,1011.43,65.1,7.2,11.65,250.7,0.0,186.02,36.51,NOMINAL,0.0
2026-09-04T14:48:00Z,OGS-WATERFORD,41.6,-6.68,5.89,1.715,1.872,3.215,0.663,5.5906e-16,1.14859,sun_scintillation,409.3,8.17,36.4,10.67,1011.48,64.7,7.21,9.37,249.1,0.0,191.23,36.4,NOMINAL,0.0
2026-09-04T14:49:00Z,OGS-WATERFORD,39.5,-7.2,6.09,1.66,1.929,3.342,0.689,5.2983e-16,1.13365,sun_scintillation,417.1,8.22,36.29,10.62,1011.38,65.0,7.27,9.12,252.9,0.0,190.78,36.29,NOMINAL,0.0
2026-09-04T14:50:00Z,OGS-WATERFORD,35.9,-8.34,6.28,1.61,1.978,3.431,0.708,5.0307e-16,1.24616,sun_scintillation,418.3,8.06,36.18,10.69,1011.34,64.3,7.23,10.68,251.5,0.0,193.06,36.18,NOMINAL,0.0
2026-09-04T14:51:00Z,OGS-WATERFORD,35.9,-8.16,6.19,1.634,1.947,3.368,0.695,5.1566e-16,1.05415,sun_scintillation,416.2,8.0,36.07,10.72,1011.29,64.2,7.3,10.39,251.3,0.0,189.73,36.07,NOMINAL,0.0
